Id,Longitude,Latitude,Accuracy,TimeStamp,Date,DateTime,IsGPSOn,BatLevel,Provider,Bearing,DeviceTime,RepId
127,80.10073,6.13843,4,1745959855000,30/04/2025 12:00:00 AM,29/04/2025 8:50:55 PM,True,55,gps,2.6,30/04/2025 2:20:54 AM,373
128,80.10075,6.13841,4.5,1745959908977,30/04/2025 12:00:00 AM,29/04/2025 8:51:49 PM,True,55,gps,40.2,30/04/2025 2:21:47 AM,373
129,80.10084,6.13839,3.5,1745960014000,30/04/2025 12:00:00 AM,29/04/2025 8:53:34 PM,True,55,gps,105.6,30/04/2025 2:23:32 AM,373
130,80.10066,6.13851,20,1745960118501,30/04/2025 12:00:00 AM,29/04/2025 8:55:19 PM,True,55,network,0,30/04/2025 2:25:18 AM,373
131,80.10069,6.13847,69.473,1745960204886,30/04/2025 12:00:00 AM,29/04/2025 8:56:45 PM,True,55,network,0,30/04/2025 2:26:44 AM,373
132,80.10078,6.13838,5,1745960208952,30/04/2025 12:00:00 AM,29/04/2025 8:56:49 PM,True,55,gps,88.9,30/04/2025 2:26:47 AM,373
133,80.10066,6.13851,51.918,1745960504894,30/04/2025 12:00:00 AM,29/04/2025 9:01:45 PM,True,55,network,0,30/04/2025 2:31:44 AM,373
134,80.10079,6.13838,8,1745960507656,30/04/2025 12:00:00 AM,29/04/2025 9:01:48 PM,True,55,gps,84.2,30/04/2025 2:31:46 AM,373
135,80.10073,6.13848,15.5,1745960753000,30/04/2025 12:00:00 AM,29/04/2025 9:05:53 PM,True,55,gps,0,30/04/2025 2:35:51 AM,373
136,80.1008,6.1384,10.5,1745960754000,30/04/2025 12:00:00 AM,29/04/2025 9:05:54 PM,True,55,gps,0,30/04/2025 2:35:52 AM,373
137,80.10085,6.13832,5.5,1745960793000,30/04/2025 12:00:00 AM,29/04/2025 9:06:33 PM,True,55,gps,125.8,30/04/2025 2:36:31 AM,373
138,80.10084,6.13835,4.5,1745960808325,30/04/2025 12:00:00 AM,29/04/2025 9:06:48 PM,True,55,gps,0,30/04/2025 2:36:46 AM,373
139,80.10074,6.13836,6,1745960903000,30/04/2025 12:00:00 AM,29/04/2025 9:08:23 PM,True,55,gps,265.1,30/04/2025 2:38:21 AM,373
140,80.10066,6.13852,37.402,1745961104884,30/04/2025 12:00:00 AM,29/04/2025 9:11:45 PM,True,55,network,0,30/04/2025 2:41:44 AM,373
141,80.10077,6.13839,4.5,1745961108773,30/04/2025 12:00:00 AM,29/04/2025 9:11:49 PM,True,55,gps,0,30/04/2025 2:41:47 AM,373
142,80.10067,6.13842,4.5,1745961150000,30/04/2025 12:00:00 AM,29/04/2025 9:12:30 PM,True,55,gps,294.5,30/04/2025 2:42:28 AM,373
143,80.10076,6.13837,4.5,1745961191000,30/04/2025 12:00:00 AM,29/04/2025 9:13:11 PM,True,55,gps,226.8,30/04/2025 2:43:09 AM,373
144,80.10062,6.13842,9.5,1745961312979,30/04/2025 12:00:00 AM,29/04/2025 9:15:13 PM,True,55,gps,0,30/04/2025 2:45:11 AM,373
145,80.10078,6.13837,9.5,1745961313997,30/04/2025 12:00:00 AM,29/04/2025 9:15:14 PM,True,55,gps,0,30/04/2025 2:45:12 AM,373
146,80.10078,6.13839,5,1745961408723,30/04/2025 12:00:00 AM,29/04/2025 9:16:49 PM,True,55,gps,0,30/04/2025 2:46:47 AM,373
147,80.10066,6.13851,17.469,1745961705038,30/04/2025 12:00:00 AM,29/04/2025 9:21:45 PM,True,55,network,0,30/04/2025 2:51:45 AM,373
